212	далее	далее	ADV	_	Degree=Pos	210	fixed	_	@vjus1978f-words#@vjus1978f#124.376#124.623
213	/	/	PUNCT	_	_	215	punct	_	@vjus1978f-words#@vjus1978f#124.623#124.87
214	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	215	nsubj	_	@vjus1978f-words#@vjus1978f#124.87#125.117
215	мир	мир	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	208	conj	_	@vjus1978f-words#@vjus1978f#125.117#125.364
216	такого	такой	DET	_	Case=Gen|Gender=Neut|Number=Sing	218	det	_	@vjus1978f-words#@vjus1978f#125.364#125.611
217	вот	вот	PART	_	_	216	advmod	_	@vjus1978f-words#@vjus1978f#125.611#125.858
218	совершенного	совершить	VERB	_	Aspect=Perf|Case=Gen|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass	215	nmod	_	@vjus1978f-words#@vjus1978f#125.858#126.136
219	хм	хм	INTJ	_		220	amod	_	@vjus1978f-words#@vjus1978f#127.666#127.86
220	хм	хм	INTJ	_		218	obl	_	@vjus1978f-words#@vjus1978f#127.86#128.055
221	ну	ну	PART	_	_	222	discourse	_	@vjus1978f-words#@vjus1978f#130.007#130.177
222	вот	вот	PART	_	_	224	advmod	_	@vjus1978f-words#@vjus1978f#130.177#130.347
223	кроме	кроме	ADP	_	_	224	case	_	@vjus1978f-words#@vjus1978f#130.347#130.517
224	штатов	штат	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	218	obl	_	@vjus1978f-words#@vjus1978f#130.517#130.687
225	да	да	PART	_	_	224	nmod	_	@vjus1978f-words#@vjus1978f#130.687#130.857
226	/	/	PUNCT	_	_	233	punct	_	@vjus1978f-words#@vjus1978f#130.857#131.027
227	да	да	PART	_	_	233	cc	_	@vjus1978f-words#@vjus1978f#131.027#131.2
228	кроме	кроме	ADP	_	_	229	case	_	@vjus1978f-words#@vjus1978f#131.333#131.62
229	штатов	штат	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	233	obl	_	@vjus1978f-words#@vjus1978f#131.62#131.907
230	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	233	nsubj	_	@vjus1978f-words#@vjus1978f#131.907#132.194
231	везде	везде	ADV	_	Degree=Pos	233	advmod	_	@vjus1978f-words#@vjus1978f#132.194#132.481
232	будешь	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	233	cop	_	@vjus1978f-words#@vjus1978f#132.481#132.768
233	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	225	det	_	@vjus1978f-words#@vjus1978f#132.768#133.055
234	вот	вот	PART	_	_	233	advmod	_	@vjus1978f-words#@vjus1978f#133.055#133.342
235	/	/	PUNCT	_	_	236	punct	_	@vjus1978f-words#@vjus1978f#133.342#133.629
236	иностранец	иностранец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	234	nsubj	_	@vjus1978f-words#@vjus1978f#133.629#133.916
237	/	/	PUNCT	_	_	248	punct	_	@vjus1978f-words#@vjus1978f#133.916#134.203
238	да	да	PART	_	_	248	cc	_	@vjus1978f-words#@vjus1978f#134.203#134.49
239	/	/	PUNCT	_	_	245	punct	_	@vjus1978f-words#@vjus1978f#134.49#134.777
240	иностранец	иностранец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	245	nsubj	_	@vjus1978f-words#@vjus1978f#134.777#135.066
241	ну	ну	PART	_	_	245	parataxis	_	@vjus1978f-words#@vjus1978f#135.066#135.366
242	просто	просто	PART	_	_	245	advmod	_	@vjus1978f-words#@vjus1978f#135.366#135.666
243	в	в	ADP	_	_	245	case	_	@vjus1978f-words#@vjus1978f#135.666#135.966
244	каких-то	какой-то	DET	_	Case=Loc|Number=Plur	245	det	_	@vjus1978f-words#@vjus1978f#135.966#136.266
245	местах	место	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur	248	nsubj	_	@vjus1978f-words#@vjus1978f#136.266#136.566
246	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	248	obj	_	@vjus1978f-words#@vjus1978f#136.566#136.866
247	будут	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	248	aux	_	@vjus1978f-words#@vjus1978f#136.866#137.166
248	любить	любить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	233	conj	_	@vjus1978f-words#@vjus1978f#137.166#137.466
249	например	например	ADV	_	Degree=Pos	248	advmod	_	@vjus1978f-words#@vjus1978f#137.466#137.766
250	/	/	PUNCT	_	_	252	punct	_	@vjus1978f-words#@vjus1978f#137.766#138.066
251	в	в	ADP	_	_	252	case	_	@vjus1978f-words#@vjus1978f#138.066#138.366
252	Мексике	Мексика	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	248	obl	_	@vjus1978f-words#@vjus1978f#138.366#138.666
253	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	256	nsubj	_	@vjus1978f-words#@vjus1978f#138.666#138.966
254	будешь	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	256	cop	_	@vjus1978f-words#@vjus1978f#138.966#139.266
255	белый	белый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	256	amod	_	@vjus1978f-words#@vjus1978f#139.266#139.566
256	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	248	nsubj	_	@vjus1978f-words#@vjus1978f#139.566#139.866
257	да	да	PART	_	_	262	cc	_	@vjus1978f-words#@vjus1978f#139.866#140.166
258	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	262	nsubj	_	@vjus1978f-words#@vjus1978f#140.166#140.466
259	там	там	ADV	_	Degree=Pos	262	advmod	_	@vjus1978f-words#@vjus1978f#140.466#140.766
260	будут	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	262	cop	_	@vjus1978f-words#@vjus1978f#140.766#141.066
261	перед	перед	ADP	_	_	262	case	_	@vjus1978f-words#@vjus1978f#141.066#141.366
262	тобой	ты	PRON	_	Case=Ins|Number=Sing|Person=2	256	parataxis	_	@vjus1978f-words#@vjus1978f#141.366#141.666
263	ну	ну	PART	_	_	264	parataxis	_	@vjus1978f-words#@vjus1978f#142.0#142.249
264	вот	вот	PART	_	_	262	advmod	_	@vjus1978f-words#@vjus1978f#142.249#142.498
265	/	/	PUNCT	_	_	270	punct	_	@vjus1978f-words#@vjus1978f#142.498#142.747
266	а	а	CCONJ	_	_	270	cc	_	@vjus1978f-words#@vjus1978f#142.747#142.996
267	например	например	ADV	_	Degree=Pos	270	obl	_	@vjus1978f-words#@vjus1978f#142.996#143.245
268	где-нибудь	где-нибудь	ADV	_	Degree=Pos	270	obl	_	@vjus1978f-words#@vjus1978f#143.245#143.494
269	в	в	ADP	_	_	270	case	_	@vjus1978f-words#@vjus1978f#143.494#143.743
270	Германии	Германия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	262	conj	_	@vjus1978f-words#@vjus1978f#143.743#143.992
271	да	да	PART	_	_	284	cc	_	@vjus1978f-words#@vjus1978f#143.992#144.241
272	/	/	PUNCT	_	_	284	punct	_	@vjus1978f-words#@vjus1978f#144.241#144.49
273	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	284	nsubj	_	@vjus1978f-words#@vjus1978f#144.49#144.739
274	будут	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	284	aux	_	@vjus1978f-words#@vjus1978f#144.739#144.988
275	так	так	ADV	_	Degree=Pos	284	advmod	_	@vjus1978f-words#@vjus1978f#144.988#145.237
276	вот	вот	PART	_	_	275	advmod	_	@vjus1978f-words#@vjus1978f#145.237#145.486
277	что-то	что-то	PRON	_	Case=Acc	284	obj	_	@vjus1978f-words#@vjus1978f#145.486#145.735
278	/	/	PUNCT	_	_	279	punct	_	@vjus1978f-words#@vjus1978f#145.735#145.984
279	кто	кто	PRON	_	Case=Nom	277	acl	_	@vjus1978f-words#@vjus1978f#145.984#146.233
280	/	/	PUNCT	_	_	281	punct	_	@vjus1978f-words#@vjus1978f#146.233#146.482
281	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	279	nsubj	_	@vjus1978f-words#@vjus1978f#146.482#146.731
282	очень	очень	ADV	_	Degree=Pos	283	obl	_	@vjus1978f-words#@vjus1978f#146.731#146.98
283	такие	такой	DET	_	Case=Nom|Number=Plur	279	det	_	@vjus1978f-words#@vjus1978f#146.98#147.229
284	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	270	conj	_	@vjus1978f-words#@vjus1978f#147.229#147.478
285	/	/	PUNCT	_	_	287	punct	_	@vjus1978f-words#@vjus1978f#147.478#147.727
286	как	как	ADV	_	Degree=Pos	287	advmod	_	@vjus1978f-words#@vjus1978f#147.727#147.976
287	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	283	csubj	_	@vjus1978f-words#@vjus1978f#147.976#148.225
288	/	/	PUNCT	_	_	287	punct	_	@vjus1978f-words#@vjus1978f#148.225#148.474
289	в	в	ADP	_	_	291	case	_	@vjus1978f-words#@vjus1978f#148.474#148.723
290	этом	этот	DET	_	Case=Loc|Gender=Masc|Number=Sing	291	det	_	@vjus1978f-words#@vjus1978f#148.723#148.972
291	плане	план	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	287	obl	_	@vjus1978f-words#@vjus1978f#148.972#149.221
292	не	не	PART	_	_	293	advmod	_	@vjus1978f-words#@vjus1978f#149.221#149.47
293	очень	очень	ADV	_	Degree=Pos	294	obl	_	@vjus1978f-words#@vjus1978f#149.47#149.719
294	толерантные	толерантный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	297	amod	_	@vjus1978f-words#@vjus1978f#149.719#149.968
295	скажем	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	297	parataxis	_	@vjus1978f-words#@vjus1978f#149.968#150.217
296	так	так	ADV	_	Degree=Pos	295	advmod	_	@vjus1978f-words#@vjus1978f#150.217#150.466
297	окей	окей	INTJ	_	_	287	obl	_	@vjus1978f-words#@vjus1978f#150.466#151.049
298	/	/	PUNCT	_	_	287	punct	_	@vjus1978f-words#@vjus1978f#151.049#151.632
299	хорошо	хорошо	ADV	_	Degree=Pos	287	advmod	_	@vjus1978f-words#@vjus1978f#151.632#152.215
300	Андрей	Андрей	PROPN	_	Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing	287	obl	_	@vjus1978f-words#@vjus1978f#152.215#152.8
301	хм	хм	INTJ	_	_	300	obl	_	@vjus1978f-words#@vjus1978f#157.6#157.833
302	хм	хм	INTJ	_	_	304	amod	_	@vjus1978f-words#@vjus1978f#157.833#158.066
303	хм	хм	INTJ	_	_	304	amod	_	@vjus1978f-words#@vjus1978f#162.5#162.797
304	хм	хм	INTJ	_	_	301	obl	_	@vjus1978f-words#@vjus1978f#162.797#163.094
305	/	/	PUNCT	_	_	307	punct	_	@vjus1978f-words#@vjus1978f#163.094#163.391
306	ну	ну	PART	_	_	307	parataxis	_	@vjus1978f-words#@vjus1978f#163.391#163.688
307	понятно	понятно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	304	parataxis	_	@vjus1978f-words#@vjus1978f#163.688#163.985
308	/	/	PUNCT	_	_	314	punct	_	@vjus1978f-words#@vjus1978f#163.985#164.282
309	да	да	PART	_	_	314	parataxis	_	@vjus1978f-words#@vjus1978f#164.282#164.579
310	/	/	PUNCT	_	_	314	punct	_	@vjus1978f-words#@vjus1978f#164.579#164.876
311	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	314	nsubj	_	@vjus1978f-words#@vjus1978f#164.876#165.173
312	кстати	кстати	ADV	_	Degree=Pos	314	parataxis	_	@vjus1978f-words#@vjus1978f#165.173#165.47
313	тоже	тоже	PART	_	_	312	advmod	_	@vjus1978f-words#@vjus1978f#165.47#165.767
314	сдаю	сдавать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	307	csubj	_	@vjus1978f-words#@vjus1978f#165.767#166.064
315	несколько	несколько	PRON	_	Case=Nom	316	nummod:gov	_	@vjus1978f-words#@vjus1978f#166.064#166.361
316	недвижимостей	недвижимость	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	314	obl	_	@vjus1978f-words#@vjus1978f#166.361#166.658
317	/	/	PUNCT	_	_	323	punct	_	@vjus1978f-words#@vjus1978f#166.658#166.955
318	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	323	nsubj	_	@vjus1978f-words#@vjus1978f#166.955#167.252
319	так	так	ADV	_	Degree=Pos	320	advmod	_	@vjus1978f-words#@vjus1978f#167.252#167.549
320	здорово	здорово	ADV	_	Degree=Pos	323	parataxis	_	@vjus1978f-words#@vjus1978f#167.549#167.846
321	/	/	PUNCT	_	_	320	punct	_	@vjus1978f-words#@vjus1978f#167.846#168.143
322	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	323	nsubj	_	@vjus1978f-words#@vjus1978f#168.143#168.44
323	здорово	здоровый	ADV	_	Degree=Pos	333	conj	_	@vjus1978f-words#@vjus1978f#168.44#168.737
324	раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	333	obl	_	@vjus1978f-words#@vjus1978f#168.737#169.034
325	/	/	PUNCT	_	_	333	punct	_	@vjus1978f-words#@vjus1978f#169.034#169.331
326	и	и	CCONJ	_	_	333	cc	_	@vjus1978f-words#@vjus1978f#169.331#169.628
327	эти	этот	DET	_	Case=Nom|Number=Plur	328	det	_	@vjus1978f-words#@vjus1978f#169.628#169.925
328	недвижимости	недвижимость	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	333	obl	_	@vjus1978f-words#@vjus1978f#169.925#170.222
329	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	333	nsubj	_	@vjus1978f-words#@vjus1978f#170.222#170.519
330	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	333	obj	_	@vjus1978f-words#@vjus1978f#170.519#170.816
331	как	как	ADV	_	Degree=Pos	333	advmod	_	@vjus1978f-words#@vjus1978f#170.816#171.113
332	бы	бы	PART	_	_	331	fixed	_	@vjus1978f-words#@vjus1978f#171.113#171.41
333	останавливают	останавливать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	314	conj	_	@vjus1978f-words#@vjus1978f#171.41#171.707
334	от	от	ADP	_	_	335	case	_	@vjus1978f-words#@vjus1978f#171.707#172.004
335	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	333	obl	_	@vjus1978f-words#@vjus1978f#172.004#172.301
336	чтобы	чтобы	SCONJ	_	Mood=Cnd	337	mark	_	@vjus1978f-words#@vjus1978f#172.301#172.598
337	возвращаться	возвращаться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	335	acl	_	@vjus1978f-words#@vjus1978f#172.598#172.895
338	в	в	ADP	_	_	339	case	_	@vjus1978f-words#@vjus1978f#172.895#173.192
339	Россию	Россия	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	337	obl	_	@vjus1978f-words#@vjus1978f#173.192#173.489
340	/	/	PUNCT	_	_	345	punct	_	@vjus1978f-words#@vjus1978f#173.489#173.786
341	потому	потому	ADV	_	Degree=Pos	345	mark	_	@vjus1978f-words#@vjus1978f#173.786#174.083
342	что	что	SCONJ	_	_	341	fixed	_	@vjus1978f-words#@vjus1978f#174.083#174.38
343	там	там	ADV	_	Degree=Pos	345	advmod	_	@vjus1978f-words#@vjus1978f#174.38#174.677
344	кто-то	кто-то	PRON	_	Case=Nom	345	nsubj	_	@vjus1978f-words#@vjus1978f#174.677#174.974
345	живёт	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	337	advcl	_	@vjus1978f-words#@vjus1978f#174.974#175.271
346	всё	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	347	det	_	@vjus1978f-words#@vjus1978f#175.271#175.568
347	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	345	obj	_	@vjus1978f-words#@vjus1978f#175.568#175.865
348	в	в	ADP	_	_	350	case	_	@vjus1978f-words#@vjus1978f#175.865#176.162
349	моих	мой	DET	_	Case=Loc|Number=Plur	350	det	_	@vjus1978f-words#@vjus1978f#176.162#176.459
350	квартирах	квартира	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	345	obl	_	@vjus1978f-words#@vjus1978f#176.459#176.756
351	понимаешь	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	354	parataxis	_	@vjus1978f-words#@vjus1978f#176.756#177.055
352	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	354	nsubj	_	@vjus1978f-words#@vjus1978f#177.375#177.538
353	не	не	PART	_	_	354	advmod	_	@vjus1978f-words#@vjus1978f#177.538#177.701
354	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	345	conj	_	@vjus1978f-words#@vjus1978f#177.701#177.864
355	туда	туда	ADV	_	Degree=Pos	356	advmod	_	@vjus1978f-words#@vjus1978f#177.864#178.027
356	вернуться	вернуться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	354	xcomp	_	@vjus1978f-words#@vjus1978f#178.027#178.194
357	и	и	CCONJ	_	_	362	cc	_	@vjus1978f-words#@vjus1978f#178.75#179.091
358	почему	почему	ADV	_	Degree=Pos	362	advmod	_	@vjus1978f-words#@vjus1978f#179.091#179.432
359	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	362	nsubj	_	@vjus1978f-words#@vjus1978f#179.432#179.773
360	ещё	еще	ADV	_	Degree=Pos	362	advmod	_	@vjus1978f-words#@vjus1978f#179.773#180.114
361	не	не	PART	_	_	362	advmod	_	@vjus1978f-words#@vjus1978f#180.114#180.455
362	живу	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	345	conj	_	@vjus1978f-words#@vjus1978f#180.455#180.796
363	в	в	ADP	_	_	364	case	_	@vjus1978f-words#@vjus1978f#180.796#181.137
364	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	362	obl	_	@vjus1978f-words#@vjus1978f#181.137#181.478
365	/	/	PUNCT	_	_	373	punct	_	@vjus1978f-words#@vjus1978f#181.478#181.819
366	потому	потому	ADV	_	Degree=Pos	373	mark	_	@vjus1978f-words#@vjus1978f#181.819#182.16
367	что	что	SCONJ	_	_	366	fixed	_	@vjus1978f-words#@vjus1978f#182.16#182.501
368	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	373	obj	_	@vjus1978f-words#@vjus1978f#182.501#182.842
369	лично	лично	ADV	_	Degree=Pos	370	obl	_	@vjus1978f-words#@vjus1978f#182.842#183.183
370	Россия	Россия	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	373	nsubj	_	@vjus1978f-words#@vjus1978f#183.183#183.524
371	очень	очень	ADV	_	Degree=Pos	372	advmod	_	@vjus1978f-words#@vjus1978f#183.524#183.865
372	сильно	сильно	ADV	_	Degree=Pos	373	advmod	_	@vjus1978f-words#@vjus1978f#183.865#184.206
373	расслабляет	расслаблять	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	362	advcl	_	@vjus1978f-words#@vjus1978f#184.206#184.562
374	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	375	nsubj	_	@vjus1978f-words#@vjus1978f#185.125#185.383
375	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	373	ccomp	_	@vjus1978f-words#@vjus1978f#185.383#185.641
376	пойти	пойти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	375	xcomp	_	@vjus1978f-words#@vjus1978f#185.641#185.899
377	покушать	покушать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	376	xcomp	_	@vjus1978f-words#@vjus1978f#185.899#186.157
378	у	у	ADP	_	_	379	case	_	@vjus1978f-words#@vjus1978f#186.157#186.415
379	мамы	мама	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	377	obl	_	@vjus1978f-words#@vjus1978f#186.415#186.673
380	/	/	PUNCT	_	_	382	punct	_	@vjus1978f-words#@vjus1978f#186.673#186.931
381	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	382	nsubj	_	@vjus1978f-words#@vjus1978f#186.931#187.189
382	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	373	parataxis	_	@vjus1978f-words#@vjus1978f#187.189#187.447
383	ничего	ничто	PRON	_	Case=Gen	385	obl	_	@vjus1978f-words#@vjus1978f#187.447#187.705
384	не	не	PART	_	_	385	advmod	_	@vjus1978f-words#@vjus1978f#187.705#187.963
385	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	382	xcomp	_	@vjus1978f-words#@vjus1978f#187.963#188.221
386	/	/	PUNCT	_	_	397	punct	_	@vjus1978f-words#@vjus1978f#188.221#188.479
387	а	а	CCONJ	_	_	397	cc	_	@vjus1978f-words#@vjus1978f#188.479#188.737
388	когда	когда	SCONJ	_	_	390	mark	_	@vjus1978f-words#@vjus1978f#188.737#188.995
389	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	390	nsubj	_	@vjus1978f-words#@vjus1978f#188.995#189.253
390	живёшь	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	397	advcl	_	@vjus1978f-words#@vjus1978f#189.253#189.511
391	где-то	где-то	ADV	_	Degree=Pos	390	advmod	_	@vjus1978f-words#@vjus1978f#189.511#189.769
392	за	за	ADP	_	_	393	case	_	@vjus1978f-words#@vjus1978f#189.769#190.027
393	границей	граница	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	390	obl	_	@vjus1978f-words#@vjus1978f#190.027#190.285
394	/	/	PUNCT	_	_	397	punct	_	@vjus1978f-words#@vjus1978f#190.285#190.543
395	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	397	nsubj	_	@vjus1978f-words#@vjus1978f#190.543#190.801
396	не	не	PART	_	_	397	advmod	_	@vjus1978f-words#@vjus1978f#190.801#191.059
397	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	382	conj	_	@vjus1978f-words#@vjus1978f#191.059#191.317
398	покушать	покушать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	397	xcomp	_	@vjus1978f-words#@vjus1978f#191.317#191.575
399	у	у	ADP	_	_	400	case	_	@vjus1978f-words#@vjus1978f#191.575#191.833
400	мамы	мама	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	398	obl	_	@vjus1978f-words#@vjus1978f#191.833#192.091
401	и	и	CCONJ	_	_	404	cc	_	@vjus1978f-words#@vjus1978f#192.091#192.349
402	ничего	ничто	PRON	_	Case=Gen	404	obl	_	@vjus1978f-words#@vjus1978f#192.349#192.607
403	не	не	PART	_	_	404	advmod	_	@vjus1978f-words#@vjus1978f#192.607#192.865
404	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	382	conj	_	@vjus1978f-words#@vjus1978f#192.865#193.125
405	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	406	nsubj:pass	_	@vjus1978f-words#@vjus1978f#193.181#193.537
406	вынужден	вынудить	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	404	ccomp	_	@vjus1978f-words#@vjus1978f#193.537#193.893
407	снимать	снимать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	406	xcomp	_	@vjus1978f-words#@vjus1978f#193.893#194.249
408	свои	свой	DET	_	Case=Acc|Number=Plur	409	det	_	@vjus1978f-words#@vjus1978f#194.249#194.605
409	видео	видео	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	407	obj	_	@vjus1978f-words#@vjus1978f#194.605#194.961
410	/	/	PUNCT	_	_	412	punct	_	@vjus1978f-words#@vjus1978f#194.961#195.317
411	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	412	nsubj:pass	_	@vjus1978f-words#@vjus1978f#195.317#195.673
412	вынужден	вынудить	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	406	conj	_	@vjus1978f-words#@vjus1978f#195.673#196.029
413	как	как	ADV	_	Degree=Pos	415	advmod	_	@vjus1978f-words#@vjus1978f#196.029#196.385
414	бы	бы	PART	_	_	413	fixed	_	@vjus1978f-words#@vjus1978f#196.385#196.741
415	зарабатывать	зарабатывать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	412	xcomp	_	@vjus1978f-words#@vjus1978f#196.741#197.097
416	эти	этот	DET	_	Case=Acc|Number=Plur	417	det	_	@vjus1978f-words#@vjus1978f#197.097#197.453
417	деньги	деньги	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	415	obj	_	@vjus1978f-words#@vjus1978f#197.453#197.818
418	да	да	PART	_	_	415	advmod	_	@vjus1978f-words#@vjus1978f#198.818#199.058
419	/	/	PUNCT	_	_	422	punct	_	@vjus1978f-words#@vjus1978f#199.058#199.298
420	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	422	nsubj	_	@vjus1978f-words#@vjus1978f#199.298#199.538
421	постоянный	постоянный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	422	amod	_	@vjus1978f-words#@vjus1978f#199.538#199.778
422	стресс	стресс	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	412	obl	_	@vjus1978f-words#@vjus1978f#199.778#200.018
423	/	/	PUNCT	_	_	424	punct	_	@vjus1978f-words#@vjus1978f#200.018#200.258
424	да	да	CCONJ	_	_	422	nmod	_	@vjus1978f-words#@vjus1978f#200.258#200.498
425	/	/	PUNCT	_	_	448	punct	_	@vjus1978f-words#@vjus1978f#200.498#200.738
426	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	448	nsubj	_	@vjus1978f-words#@vjus1978f#200.738#200.978
427	на...	на...	X	_	_	448	amod	_	@vjus1978f-words#@vjus1978f#200.978#201.218
428	в	в	ADP	_	_	431	case	_	@vjus1978f-words#@vjus1978f#201.218#201.458
429	таком	такой	DET	_	Case=Loc|Gender=Neut|Number=Sing	431	det	_	@vjus1978f-words#@vjus1978f#201.458#201.698
430	неком	некий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	431	amod	_	@vjus1978f-words#@vjus1978f#201.698#201.938
